time;type;message
1621999053.9136589;INFO;Received new zone object with ID sample_zone!
1621999054.17023;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.256s)
1621999054.337614;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.167s)
1621999054.525213;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.188s)
1621999055.120207;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.154s)
1621999055.571845;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.163s)
1621999055.749974;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.178s)
1621999055.90915;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.159s)
1621999056.0691662;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.160s)
1621999056.228819;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.160s)
1621999056.3823948;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.154s)
1621999056.543693;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.161s)
1621999056.698242;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.155s)
1621999056.8587039;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.160s)
1621999057.0228229;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.164s)
1621999057.380055;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.209s)
1621999057.548212;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.168s)
1621999057.712613;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.164s)
